x,y,z,labels
-0.263062924,-9.640253067,-1.383249998,still
-0.239120901,-9.702502251,-1.495777488,still
-0.289399117,-9.676166534,-1.464652896,still
-0.239120901,-9.661801338,-1.440710902,still
-0.310946941,-9.664195061,-1.383249998,still
-0.35404259,-9.661801338,-1.471835494,still
-0.35404259,-9.661801338,-1.471835494,still
-0.35404259,-9.661801338,-1.471835494,still
-0.239120901,-9.647436142,-1.481412292,still
-0.258274496,-9.659406662,-1.443105102,still
-0.289399117,-9.647436142,-1.471835494,still
-0.205602065,-9.678560257,-1.514931083,still
-0.255880296,-9.668983459,-1.529296279,still
-0.255880296,-9.668983459,-1.529296279,still
-0.272639722,-9.666589737,-1.490989089,still
-0.272639722,-9.666589737,-1.490989089,still
-0.22475569,-9.652224541,-1.505354285,still
-0.301370144,-9.692925453,-1.546055794,still
-0.272639722,-9.685743332,-1.476623893,still
-0.287004918,-9.640253067,-1.371279001,still
-0.327706367,-9.628282547,-1.52690208,still
-0.196025267,-9.613917351,-1.541267395,still
-0.196025267,-9.613917351,-1.541267395,still
-0.27742812,-9.712079048,-1.543661594,still
-0.27742812,-9.712079048,-1.543661594,still
-0.358830988,-9.700108528,-1.605910778,still
-0.045190558,-9.683348656,-1.581968784,still
-0.227149889,-9.642647743,-1.644217968,still
-0.227149889,-9.642647743,-1.644217968,still
-0.105045602,-9.594763756,-1.689707875,still
-0.480935276,-9.666589737,-1.531690478,still
-0.480935276,-9.666589737,-1.531690478,still
-0.236726686,-9.55406189,-1.658583283,still
-0.540790319,-9.633070946,-1.514931083,still
-0.334888965,-9.659406662,-1.692102075,still
-0.22475569,-9.594763756,-1.514931083,still
-0.22475569,-9.594763756,-1.514931083,still
-0.586280167,-9.793481827,-1.469441295,still
-0.586280167,-9.671378136,-1.682525277,still
-0.076315179,-9.671378136,-1.682525277,still
-0.272639722,-9.408015251,-1.507748485,still
-0.528819323,-9.45111084,-1.675342679,still
-0.57670331,-9.534908295,-1.574786186,still
-0.57670331,-9.534908295,-1.574786186,still
-0.586280167,-9.542090416,-1.699284673,still
-0.737114847,-9.635464668,-1.842936754,still
-0.397138208,-9.532513618,-1.036090732,still
-0.397138208,-9.532513618,-1.036090732,still
-0.31573534,-9.563638687,-1.512536883,still
-0.50248307,-9.666589737,-1.29945302,still
-0.356436789,-9.963470459,-1.586757183,still
-0.356436789,-9.963470459,-1.586757183,still
-0.931045175,-9.645041466,-1.000177741,still
-0.31573534,-9.63067627,-1.055244446,still
